ID,#,label
1,TGDOM2_208440,0
2,TGBR9_201270,0
3,TGDOM2_259160,0
4,TGGT1_209200,0
5,CSUI_001014,0
6,Ncaninum_LIV_000763400,0
7,CSUI_000285,0
8,NCLIV_050280,0
9,Ncaninum_LIV_000449000,0
10,HHA_293410,0
11,CSUI_001187,0
12,TGDOM2_223070,0
13,CSUI_002197,0
14,TGME49_209200,0
15,NCLIV_037930,0
16,TGRH88_022420,0
17,TGCAST_209270,0
18,TGME49_208400,0
19,TGVEG_208910,0
20,NCLIV_038110,0
21,TGFOU_241165,0
22,NCLIV_003530,0
23,TGPRC2_202080,0
24,TGGT1_231880,0
25,TGBR9_209550,0
26,CSUI_000477,0
27,TGP89_208830,0
28,TGRH88_018780,0
29,CSUI_001415,0
30,TGDOM2_200340,0
31,NCLIV_003700,0
32,TGMAS_209200A,0
33,TGP89_222880,0
34,TGCOUG_209280B,0
35,TGP89_295130,0
36,NCLIV_067920,0
37,TGRH88_022200,0
38,TGCAST_200330,0
39,TGRH88_022120,0
40,TGCOUG_293360,0
41,TGVAND_271240,0
42,TGPRC2_201650,0
43,TGFOU_200400,0
44,Ncaninum_LIV_000450800,0
45,TGRUB_209480,0
46,TGP89_259160,0
47,HHA_200330,0
48,TGBR9_209460,0
49,NCLIV_003500,0
50,TGCOUG_209480,0
51,TGVAND_209280,0
52,NCLIV_003120,0
53,TGPRC2_209705,0
54,NCLIV_050290,0
55,NCLIV_003820,0
56,TGRH88_021510,0
57,TGPRC2_209070B,0
58,TGVEG_209700,0
59,TGARI_209020,0
60,TGP89_209270,0
61,Ncaninum_LIV_000446100,0
62,Ncaninum_LIV_000565900,0
63,TGVEG_209540,0
64,Ncaninum_LIV_000749800,0
65,TGCOUG_208400,0
66,TGDOM2_218000A,0
67,NCLIV_033690,0
68,TGME49_323100,0
69,TGRUB_209500,0
70,CSUI_003490,0
71,HHA_291650,0
72,TGVEG_440150,0
73,CSUI_005273,0
74,TGME49_293040,0
75,Ncaninum_LIV_000600700,0
76,TGCAST_223070,0
77,TGRUB_200470,0
78,TGCOUG_293230,0
79,TGME49_209040,0
80,TGBR9_209640,0
81,TGVEG_201810,0
82,TGGT1_259190,0
83,TGVEG_202080,0
84,TGP89_257380,0
85,TGARI_268270,0
86,TGFOU_208400,0
87,TGVAND_209560,0
88,TGDOM2_200360,0
89,TGBR9_209270,0
90,NCLIV_003150,0
91,TGBR9_314038,0
92,TGCAST_209280B,0
93,Ncaninum_LIV_000193000,0
94,Ncaninum_LIV_000742200,0
95,NCLIV_062090,0
96,TGRH88_059220,0
97,TGRUB_209170,0
98,TGRH88_022470,0
99,HHA_279100,0
100,CSUI_007432,0
101,TGME49_201800,0
102,HHA_321460,0
103,TGCAST_209170,0
104,TGP89_209515,0
105,TGRH88_021590,0
106,TGMAS_209280,0
107,TGCOUG_209280A,0
108,TGCOUG_200360,0
109,Ncaninum_LIV_000566400,0
110,TGME49_200400,0
111,TGBR9_208440,0
112,TGGT1_208910,0
113,Ncaninum_LIV_000448300,0
114,TGP89_296000,0
115,NCLIV_038630,0
116,TGVEG_442370,0
117,TGFOU_259190,0
118,CSUI_001430,0
119,TGCAST_200360,0
120,TGGT1_209420,0
121,TGPRC2_201270,0
122,TGCAST_292975A,0
123,Ncaninum_LIV_000745900,0
124,CSUI_000229,0
125,TGARI_259190,0
126,Ncaninum_LIV_000751900,0
127,Ncaninum_LIV_000005500,0
128,HHA_257380,0
129,TGRH88_037510,0
130,TGCAST_208510,0
131,TGPRC2_209630,0
132,TGVEG_209485,0
133,Ncaninum_LIV_000257900,0
134,NCLIV_067960,0
135,TGGT1_209600,0
136,TGRH88_022380,0
137,TGDOM2_361110,0
138,HHA_292935,0
139,TGGT1_220950,0
140,TGVEG_200330,0
141,TGRH88_021760,0
142,TGFOU_209490,0
143,TGARI_293360,0
144,TGP89_209560,0
145,TGME49_268270,0
146,TGME49_208510,0
147,TGMAS_293230B,0
148,HHA_292975,0
149,TGDOM2_200400,0
150,TGBR9_285800A,0
151,TGMAS_209420,0
152,NCLIV_022840,0
153,TGARI_208550,0
154,TGCAST_209460,0
155,NCLIV_001970,0
156,TGMAS_241165,0
157,TGGT1_201880,0
158,TGRH88_037220,0
159,TGFOU_291650,0
160,Ncaninum_LIV_000256900,0
